original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Pyracantha sp.	:pyracantha-sp	genus match	https://id.biodiversity.org.au/instance/apni/646437	https://id.biodiversity.org.au/instance/apni/646437	null
Pyrrholaemus sagittatus	:pyrrholaemus-sagittatus	species match	https://id.biodiversity.org.au/instance/afd/70860354	https://id.biodiversity.org.au/instance/afd/70860354	https://id.biodiversity.org.au/instance/afd/70856076
Rattus rattus	:rattus-rattus	species match	https://id.biodiversity.org.au/instance/afd/70793644	https://id.biodiversity.org.au/instance/afd/70793644	https://id.biodiversity.org.au/instance/afd/70793626
Rhipidura albiscapa	:rhipidura-albiscapa	species match	https://id.biodiversity.org.au/instance/afd/72449909	https://id.biodiversity.org.au/instance/afd/70865142	https://id.biodiversity.org.au/instance/afd/70865132
Rhipidura leucophrys	:rhipidura-leucophrys	species match	https://id.biodiversity.org.au/instance/afd/70865151	https://id.biodiversity.org.au/instance/afd/70865151	https://id.biodiversity.org.au/instance/afd/70865132
Rosa canina	:rosa-canina	species match	https://id.biodiversity.org.au/instance/apni/646470	https://id.biodiversity.org.au/instance/apni/646470	https://id.biodiversity.org.au/instance/apni/646471
Rosa sp.	:rosa-sp	genus match	https://id.biodiversity.org.au/instance/apni/646471	https://id.biodiversity.org.au/instance/apni/646471	null
Rytidosperma carphoides	:rytidosperma-carphoides	species match	https://id.biodiversity.org.au/instance/apni/708549	https://id.biodiversity.org.au/instance/apni/708549	https://id.biodiversity.org.au/instance/apni/708543
Rytidosperma oreophilum	:rytidosperma-oreophilum	species match	https://id.biodiversity.org.au/instance/apni/709088	https://id.biodiversity.org.au/instance/apni/709088	https://id.biodiversity.org.au/instance/apni/708543
Rytidosperma pallidum	:rytidosperma-pallidum	species match	https://id.biodiversity.org.au/instance/apni/921721	https://id.biodiversity.org.au/instance/apni/709089	https://id.biodiversity.org.au/instance/apni/708543
Rytidosperma sp.	:rytidosperma-sp	genus match	https://id.biodiversity.org.au/instance/apni/708543	https://id.biodiversity.org.au/instance/apni/708543	null
Scleranthus diander	:scleranthus-diander	species match	https://id.biodiversity.org.au/instance/apni/646076	https://id.biodiversity.org.au/instance/apni/646076	https://id.biodiversity.org.au/instance/apni/646067
Senecio bathurstianus	:senecio-bathurstianus	species match	https://id.biodiversity.org.au/instance/apni/742925	https://id.biodiversity.org.au/instance/apni/742925	https://id.biodiversity.org.au/instance/apni/51747467
Silene gallica var. gallica	:silene-gallica-var-gallica	variety match	https://id.biodiversity.org.au/instance/apni/781197	https://id.biodiversity.org.au/instance/apni/781197	https://id.biodiversity.org.au/instance/apni/646931
